character	syllable	initial	medial	nuclues	terminal	tone	percentage
䜙	ŋom	ŋ	undefined	undefined	undefined	0	null
垵	qom	q	undefined	undefined	undefined	1	null
俺	qom	q	undefined	undefined	undefined	1	null
俺	qiam	q	undefined	undefined	undefined	2	2
俺	qiem	q	undefined	undefined	undefined	2	2
埯	qam	q	undefined	undefined	undefined	1	null
埯	qiam	q	undefined	undefined	undefined	1	null
唵	qom	q	undefined	undefined	undefined	1	null
隌	qim	q	undefined	undefined	undefined	0	null
隌	qom	q	undefined	undefined	undefined	1	null
揞	qom	q	undefined	undefined	undefined	1	null
揞	qrem	qr	undefined	undefined	undefined	2	null
晻	qiem	q	undefined	undefined	undefined	1	null
晻	qom	q	undefined	undefined	undefined	1	null
罯	qom	q	undefined	undefined	undefined	1	null
罯	qom	q	undefined	undefined	undefined	3	null
銨	qan	q	undefined	undefined	undefined	1	null
㜝	ŋom	ŋ	undefined	undefined	undefined	1	null
犴	ŋan	ŋ	undefined	undefined	undefined	0	null
犴	ŋan	ŋ	undefined	undefined	undefined	2	null
岸	ŋan	ŋ	undefined	undefined	undefined	2	null
按	qan	q	undefined	undefined	undefined	2	null
荌	qan	q	undefined	undefined	undefined	2	null
洝	qan	q	undefined	undefined	undefined	2	null
豻	han	h	undefined	undefined	undefined	2	null
豻	c'ran	c'r	undefined	undefined	undefined	0	null
豻	ŋan	ŋ	undefined	undefined	undefined	0	null
豻	ŋan	ŋ	undefined	undefined	undefined	2	null
胺	qan	q	undefined	undefined	undefined	2	null
胺	qan	q	undefined	undefined	undefined	3	null
案	qan	q	undefined	undefined	undefined	2	null
䅁	qan	q	undefined	undefined	undefined	2	null
暗	qom	q	undefined	undefined	undefined	2	null
儑	ŋam	ŋ	undefined	undefined	undefined	3	null
儑	ŋom	ŋ	undefined	undefined	undefined	2	null
儑	ŋom	ŋ	undefined	undefined	undefined	3	null
䮗	ŋan	ŋ	undefined	undefined	undefined	2	null
黯	qrem	qr	undefined	undefined	undefined	1	null
黯	qrem	qr	undefined	undefined	undefined	0	5
肮	haŋ	h	undefined	undefined	undefined	0	null
骯	haŋ	h	undefined	undefined	undefined	1	null
骯	c'aŋ	c'	undefined	undefined	undefined	1	null
䒢	ŋaŋ	ŋ	undefined	undefined	undefined	0	null
䒢	ŋiaŋ	ŋ	undefined	undefined	undefined	1	null
枊	ŋaŋ	ŋ	undefined	undefined	undefined	0	null
枊	ŋaŋ	ŋ	undefined	undefined	undefined	2	null
昂	ŋaŋ	ŋ	undefined	undefined	undefined	0	null
㭿	ŋaŋ	ŋ	undefined	undefined	undefined	0	null
䩕	ŋaŋ	ŋ	undefined	undefined	undefined	0	null
䭹	ŋaŋ	ŋ	undefined	undefined	undefined	0	null
䭹	ŋaŋ	ŋ	undefined	undefined	undefined	2	null
䭹	ŋaŋ	ŋ	undefined	undefined	undefined	1	null
䇦	qaŋ	q	undefined	undefined	undefined	1	null
盎	qaŋ	q	undefined	undefined	undefined	2	null
盎	qaŋ	q	undefined	undefined	undefined	1	5
醠	qaŋ	q	undefined	undefined	undefined	2	null
醠	qaŋ	q	undefined	undefined	undefined	1	null
凹	qrem	qr	undefined	undefined	undefined	3	null
㕭	qrau	qr	undefined	undefined	undefined	0	null
軪	qrau	qr	undefined	undefined	undefined	0	null
軪	qrau	qr	undefined	undefined	undefined	2	null
䫜	qrau	qr	undefined	undefined	undefined	0	null
敖	ŋau	ŋ	undefined	undefined	undefined	0	null
嗸	ŋau	ŋ	undefined	undefined	undefined	0	null
嶅	ŋau	ŋ	undefined	undefined	undefined	0	null
遨	ŋau	ŋ	undefined	undefined	undefined	0	null
蔜	ŋau	ŋ	undefined	undefined	undefined	0	null
嗷	ŋau	ŋ	undefined	undefined	undefined	0	null
廒	ŋau	ŋ	undefined	undefined	undefined	0	null
滶	ŋau	ŋ	undefined	undefined	undefined	0	null
璈	ŋau	ŋ	undefined	undefined	undefined	0	null
獒	ŋau	ŋ	undefined	undefined	undefined	0	null
摮	ŋau	ŋ	undefined	undefined	undefined	0	null
熬	ŋau	ŋ	undefined	undefined	undefined	0	null
磝	ŋrau	ŋr	undefined	undefined	undefined	0	null
聱	ŋau	ŋ	undefined	undefined	undefined	0	null
聱	ŋrau	ŋr	undefined	undefined	undefined	0	null
聱	ŋy	ŋ	undefined	undefined	undefined	0	null
螯	ŋau	ŋ	undefined	undefined	undefined	0	null
翱	ŋau	ŋ	undefined	undefined	undefined	0	null
謷	ŋau	ŋ	undefined	undefined	undefined	0	null
謷	ŋau	ŋ	undefined	undefined	undefined	2	null
謷	ŋrau	ŋr	undefined	undefined	undefined	0	null
䦋	ŋau	ŋ	undefined	undefined	undefined	0	null
翶	ŋau	ŋ	undefined	undefined	undefined	0	null
翺	ŋau	ŋ	undefined	undefined	undefined	0	null
鏖	qau	q	undefined	undefined	undefined	0	null
鷔	ŋau	ŋ	undefined	undefined	undefined	0	null
鷔	ŋau	ŋ	undefined	undefined	undefined	2	null
鰲	ŋau	ŋ	undefined	undefined	undefined	0	null
䥝	qau	q	undefined	undefined	undefined	0	null
鼇	ŋau	ŋ	undefined	undefined	undefined	0	null
芺	qau	q	undefined	undefined	undefined	1	null
芺	qieu	q	undefined	undefined	undefined	1	null
㑃	qrau	qr	undefined	undefined	undefined	2	null
㤇	qau	q	undefined	undefined	undefined	1	null
镺	qau	q	undefined	undefined	undefined	2	null
镺	qau	q	undefined	undefined	undefined	1	null
媪	qau	q	undefined	undefined	undefined	1	null
媼	qau	q	undefined	undefined	undefined	1	null
襖	qau	q	undefined	undefined	undefined	1	null
䯠	qau	q	undefined	undefined	undefined	1	null
坳	qrau	qr	undefined	undefined	undefined	0	null
岰	qrau	qr	undefined	undefined	undefined	2	null
奡	ŋau	ŋ	undefined	undefined	undefined	2	null
傲	ŋau	ŋ	undefined	undefined	undefined	2	null
奥	qau	q	undefined	undefined	undefined	2	null
嫯	ŋau	ŋ	undefined	undefined	undefined	0	null
嫯	ŋau	ŋ	undefined	undefined	undefined	2	null
奧	qau	q	undefined	undefined	undefined	2	null
嶴	qau	q	undefined	undefined	undefined	2	null
澳	qau	q	undefined	undefined	undefined	2	null
澳	qiuŋ	q	undefined	undefined	undefined	3	2
懊	qau	q	undefined	undefined	undefined	2	null
懊	qau	q	undefined	undefined	undefined	1	null
懊	qiuŋ	q	undefined	undefined	undefined	3	null
䐿	qau	q	undefined	undefined	undefined	2	null
䐿	qau	q	undefined	undefined	undefined	1	null
䐿	qiuŋ	q	undefined	undefined	undefined	3	null
鏊	ŋau	ŋ	undefined	undefined	undefined	0	null
鏊	ŋau	ŋ	undefined	undefined	undefined	2	null
䫨	ŋau	ŋ	undefined	undefined	undefined	0	null
䫨	ŋau	ŋ	undefined	undefined	undefined	2	null
䜒	qau	q	undefined	undefined	undefined	2	null
驁	ŋau	ŋ	undefined	undefined	undefined	0	null
驁	ŋau	ŋ	undefined	undefined	undefined	2	null
八	pren	pr	undefined	undefined	undefined	3	null
巴	pra	pr	undefined	undefined	undefined	0	null
扒	pien	p	undefined	undefined	undefined	3	null
扒	prai	pr	undefined	undefined	undefined	2	null
扒	pren	pr	undefined	undefined	undefined	3	null
叭	p'ren	p'r	undefined	undefined	undefined	3	null
玐	pren	pr	undefined	undefined	undefined	3	null
朳	pren	pr	undefined	undefined	undefined	3	null
芭	pra	pr	undefined	undefined	undefined	0	null
岜	pra	pr	undefined	undefined	undefined	0	null
㺴	pren	pr	undefined	undefined	undefined	3	null
疤	pra	pr	undefined	undefined	undefined	0	null
㿬	pra	pr	undefined	undefined	undefined	0	null
捌	pran	pr	undefined	undefined	undefined	3	null
捌	pren	pr	undefined	undefined	undefined	3	null
蚆	p'ra	p'r	undefined	undefined	undefined	0	null
蚆	pra	pr	undefined	undefined	undefined	0	null
哵	pren	pr	undefined	undefined	undefined	3	null
笆	bra	br	undefined	undefined	undefined	1	null
笆	pra	pr	undefined	undefined	undefined	0	null
釟	pren	pr	undefined	undefined	undefined	3	null
羓	pra	pr	undefined	undefined	undefined	0	null
粑	pra	pr	undefined	undefined	undefined	0	null
㭭	pen	p	undefined	undefined	undefined	3	null
㭭	pran	pr	undefined	undefined	undefined	3	null
豝	pra	pr	undefined	undefined	undefined	0	null
犮	buan	b	undefined	undefined	undefined	3	null
坺	buan	b	undefined	undefined	undefined	3	null
坺	byan	b	undefined	undefined	undefined	3	null
拔	bren	br	undefined	undefined	undefined	3	null
拔	buan	b	undefined	undefined	undefined	3	5
拔	byan	b	undefined	undefined	undefined	3	1
茇	buan	b	undefined	undefined	undefined	3	null
茇	puan	p	undefined	undefined	undefined	3	null
妭	buan	b	undefined	undefined	undefined	3	null
胈	buan	b	undefined	undefined	undefined	3	null
炦	buan	b	undefined	undefined	undefined	3	null
癹	buan	b	undefined	undefined	undefined	3	null
菝	bren	br	undefined	undefined	undefined	3	null
菝	buan	b	undefined	undefined	undefined	3	null
軷	bad	b	undefined	undefined	undefined	2	null
軷	buan	b	undefined	undefined	undefined	3	null
跋	buan	b	undefined	undefined	undefined	3	null
䤢	pren	pr	undefined	undefined	undefined	3	null
魃	buan	b	undefined	undefined	undefined	3	null
颰	buan	b	undefined	undefined	undefined	3	null
颰	pyan	p	undefined	undefined	undefined	3	null
䮂	buan	b	undefined	undefined	undefined	3	null
鼥	buan	b	undefined	undefined	undefined	3	null
把	pra	pr	undefined	undefined	undefined	1	null
靶	pra	pr	undefined	undefined	undefined	2	null
弝	pra	pr	undefined	undefined	undefined	2	null
爸	ba	b	undefined	undefined	undefined	1	null
爸	bua	b	undefined	undefined	undefined	1	10
爸	pra	pr	undefined	undefined	undefined	2	10
垻	pra	pr	undefined	undefined	undefined	2	null
䇑	bra	br	undefined	undefined	undefined	1	null
罷	bre	br	undefined	undefined	undefined	1	null
罷	bie	b	undefined	undefined	undefined	0	10
罷	bie	b	undefined	undefined	undefined	1	10
鮁	puan	p	undefined	undefined	undefined	3	null
覇	pra	pr	undefined	undefined	undefined	2	null
矲	bre	br	undefined	undefined	undefined	1	null
霸	pra	pr	undefined	undefined	undefined	2	null
壩	pra	pr	undefined	undefined	undefined	2	null
灞	pra	pr	undefined	undefined	undefined	2	null
欛	pra	pr	undefined	undefined	undefined	2	null
吧	pra	pr	undefined	undefined	undefined	0	null
吧	p'ra	p'r	undefined	undefined	undefined	0	2
掰	prai	pr	undefined	undefined	undefined	0	null
掰	preŋ	pr	undefined	undefined	undefined	3	null
䪹	p'ii	p'	undefined	undefined	undefined	0	null
白	braŋ	br	undefined	undefined	undefined	3	null
㿟	ceu	c	undefined	undefined	undefined	1	null
百	praŋ	pr	undefined	undefined	undefined	3	null
佰	mraŋ	mr	undefined	undefined	undefined	3	null
佰	praŋ	pr	undefined	undefined	undefined	3	null
柏	praŋ	pr	undefined	undefined	undefined	3	null
栢	praŋ	pr	undefined	undefined	undefined	3	null
捭	pre	pr	undefined	undefined	undefined	1	null
擺	pre	pr	undefined	undefined	undefined	1	null
襬	p'ie	p'	undefined	undefined	undefined	2	null
襬	pie	p	undefined	undefined	undefined	0	null
庍	xion	x	undefined	undefined	undefined	2	null
庍	pre	pr	undefined	undefined	undefined	2	null
拜	prai	pr	undefined	undefined	undefined	2	null
䢙	brad	br	undefined	undefined	undefined	2	null
敗	brad	br	undefined	undefined	undefined	2	null
敗	prad	pr	undefined	undefined	undefined	2	null
稗	bre	br	undefined	undefined	undefined	2	null
粺	bre	br	undefined	undefined	undefined	2	null
㠔	pre	pr	undefined	undefined	undefined	2	null
㔥	bre	br	undefined	undefined	undefined	1	null
贁	brad	br	undefined	undefined	undefined	2	null
韛	brai	br	undefined	undefined	undefined	2	null
扳	pran	pr	undefined	undefined	undefined	0	null
扳	p'ran	p'r	undefined	undefined	undefined	0	2
攽	pin	p	undefined	undefined	undefined	0	null
班	pran	pr	undefined	undefined	undefined	0	null
般	pran	pr	undefined	undefined	undefined	0	null
般	puan	p	undefined	undefined	undefined	0	null
般	buan	b	undefined	undefined	undefined	0	5
斑	pran	pr	undefined	undefined	undefined	0	null
搬	puan	p	undefined	undefined	undefined	0	null
頒	pran	pr	undefined	undefined	undefined	0	null
頒	byon	b	undefined	undefined	undefined	0	2
斒	pran	pr	undefined	undefined	undefined	0	null
斒	pren	pr	undefined	undefined	undefined	0	null
瘢	buan	b	undefined	undefined	undefined	0	null
䈲	buan	b	undefined	undefined	undefined	0	null
䈲	puan	p	undefined	undefined	undefined	0	null
癍	pran	pr	undefined	undefined	undefined	0	null
辬	pran	pr	undefined	undefined	undefined	0	null
阪	bran	br	undefined	undefined	undefined	1	null
阪	pyan	p	undefined	undefined	undefined	1	null
坂	pyan	p	undefined	undefined	undefined	1	null
板	pran	pr	undefined	undefined	undefined	1	null
瓪	pran	pr	undefined	undefined	undefined	1	null
瓪	puan	p	undefined	undefined	undefined	1	null
昄	bran	br	undefined	undefined	undefined	1	null
昄	pran	pr	undefined	undefined	undefined	1	null
昄	puan	p	undefined	undefined	undefined	1	null
版	pran	pr	undefined	undefined	undefined	1	null
覂	pyuŋ	p	undefined	undefined	undefined	1	null
舨	pran	pr	undefined	undefined	undefined	1	null
粄	puan	p	undefined	undefined	undefined	1	null
䉽	puan	p	undefined	undefined	undefined	1	null
鈑	pran	pr	undefined	undefined	undefined	1	null
䬳	puan	p	undefined	undefined	undefined	1	null
蝂	pran	pr	undefined	undefined	undefined	1	null
魬	bran	br	undefined	undefined	undefined	1	null
闆	p'ren	p'r	undefined	undefined	undefined	1	null
闆	pran	pr	undefined	undefined	undefined	1	null
半	puan	p	undefined	undefined	undefined	2	null
伴	buan	b	undefined	undefined	undefined	1	null
伴	buan	b	undefined	undefined	undefined	2	3
㚘	buan	b	undefined	undefined	undefined	1	null
坢	p'uan	p'	undefined	undefined	undefined	1	null
拌	buan	b	undefined	undefined	undefined	1	null
拌	p'uan	p'	undefined	undefined	undefined	0	null
姅	p'uan	p'	undefined	undefined	undefined	2	null
姅	puan	p	undefined	undefined	undefined	2	null
㪵	puan	p	undefined	undefined	undefined	2	null
湴	bram	br	undefined	undefined	undefined	2	null
絆	puan	p	undefined	undefined	undefined	2	null
靽	puan	p	undefined	undefined	undefined	2	null
辦	bren	br	undefined	undefined	undefined	2	null
瓣	bren	br	undefined	undefined	undefined	2	null
扮	pren	pr	undefined	undefined	undefined	2	null
扮	byon	b	undefined	undefined	undefined	1	2
扮	xrue	xr	undefined	undefined	undefined	1	2
扮	pyon	p	undefined	undefined	undefined	0	2
扮	pyon	p	undefined	undefined	undefined	1	2
邦	pruŋ	pr	undefined	undefined	undefined	0	null
垹	pruŋ	pr	undefined	undefined	undefined	0	null
捠	preŋ	pr	undefined	undefined	undefined	0	null
梆	pruŋ	pr	undefined	undefined	undefined	0	null
浜	preŋ	pr	undefined	undefined	undefined	0	null
浜	praŋ	pr	undefined	undefined	undefined	1	20
㨍	paŋ	p	undefined	undefined	undefined	0	null
幫	paŋ	p	undefined	undefined	undefined	0	null
鞤	paŋ	p	undefined	undefined	undefined	0	null
綁	pruŋ	pr	undefined	undefined	undefined	1	null
榜	paŋ	p	undefined	undefined	undefined	1	null
榜	braŋ	br	undefined	undefined	undefined	0	20
榜	praŋ	pr	undefined	undefined	undefined	2	20
牓	paŋ	p	undefined	undefined	undefined	1	null
玤	bruŋ	br	undefined	undefined	undefined	1	null
㭋	bruŋ	br	undefined	undefined	undefined	1	null
蚌	bruŋ	br	undefined	undefined	undefined	1	null
棒	bruŋ	br	undefined	undefined	undefined	1	null
棓	biu	b	undefined	undefined	undefined	0	null
棓	bruŋ	br	undefined	undefined	undefined	1	null
棓	buai	b	undefined	undefined	undefined	0	null
傍	baŋ	b	undefined	undefined	undefined	0	null
傍	baŋ	b	undefined	undefined	undefined	2	null
蒡	braŋ	br	undefined	undefined	undefined	0	null
蒡	paŋ	p	undefined	undefined	undefined	1	null
䎧	bruŋ	br	undefined	undefined	undefined	1	null
蜯	bruŋ	br	undefined	undefined	undefined	1	null
磅	p'aŋ	p'	undefined	undefined	undefined	0	null
磅	p'raŋ	p'r	undefined	undefined	undefined	0	null
縍	paŋ	p	undefined	undefined	undefined	0	null
謗	paŋ	p	undefined	undefined	undefined	2	null
鎊	p'aŋ	p'	undefined	undefined	undefined	0	null
勹	prau	pr	undefined	undefined	undefined	0	null
包	prau	pr	undefined	undefined	undefined	0	null
佨	prau	pr	undefined	undefined	undefined	0	null
苞	prau	pr	undefined	undefined	undefined	0	null
孢	brau	br	undefined	undefined	undefined	1	null
胞	p'rau	p'r	undefined	undefined	undefined	0	null
胞	prau	pr	undefined	undefined	undefined	0	null
煲	pau	p	undefined	undefined	undefined	0	null
褒	pau	p	undefined	undefined	undefined	0	null
襃	pau	p	undefined	undefined	undefined	0	null
齙	brau	br	undefined	undefined	undefined	0	null
窇	bruŋ	br	undefined	undefined	undefined	3	null
雹	bruŋ	br	undefined	undefined	undefined	3	null
䈏	bruŋ	br	undefined	undefined	undefined	3	null
薄	baŋ	b	undefined	undefined	undefined	3	null
㿺	pruŋ	pr	undefined	undefined	undefined	3	null
宀	mjen	mj	undefined	undefined	undefined	0	null
保	pau	p	undefined	undefined	undefined	1	null
珤	pau	p	undefined	undefined	undefined	1	null
㹱	ʦ'iaŋ	ʦ'	undefined	undefined	undefined	3	null
㹱	ʦ'yuŋ	ʦ'	undefined	undefined	undefined	3	null
䎂	pau	p	undefined	undefined	undefined	1	null
堢	pau	p	undefined	undefined	undefined	1	null
葆	pau	p	undefined	undefined	undefined	1	null
堡	pau	p	undefined	undefined	undefined	1	null
飽	prau	pr	undefined	undefined	undefined	1	null
駂	pau	p	undefined	undefined	undefined	1	null
褓	pau	p	undefined	undefined	undefined	1	null
鴇	pau	p	undefined	undefined	undefined	1	null
緥	pau	p	undefined	undefined	undefined	1	null
賲	pau	p	undefined	undefined	undefined	1	null
寶	pau	p	undefined	undefined	undefined	1	null
勽	bau	b	undefined	undefined	undefined	2	null
勽	myon	m	undefined	undefined	undefined	1	null
抱	bau	b	undefined	undefined	undefined	1	null
趵	pruŋ	pr	undefined	undefined	undefined	3	null
豹	prau	pr	undefined	undefined	undefined	2	null
菢	bau	b	undefined	undefined	undefined	2	null
袌	bau	b	undefined	undefined	undefined	0	null
袌	bau	b	undefined	undefined	undefined	2	null
報	pau	p	undefined	undefined	undefined	2	null
鉋	brau	br	undefined	undefined	undefined	0	null
鉋	brau	br	undefined	undefined	undefined	2	null
靤	brau	br	undefined	undefined	undefined	2	null
骲	brau	br	undefined	undefined	undefined	2	null
骲	brau	br	undefined	undefined	undefined	1	null
骲	bruŋ	br	undefined	undefined	undefined	3	null
骲	p'uŋ	p'	undefined	undefined	undefined	3	null
暴	bau	b	undefined	undefined	undefined	2	null
暴	buŋ	b	undefined	undefined	undefined	3	20
虣	bau	b	undefined	undefined	undefined	2	null
鮑	brau	br	undefined	undefined	undefined	1	null
爆	paŋ	p	undefined	undefined	undefined	3	null
爆	prau	pr	undefined	undefined	undefined	2	null
爆	pruŋ	pr	undefined	undefined	undefined	3	null
陂	pie	p	undefined	undefined	undefined	0	null
陂	pie	p	undefined	undefined	undefined	2	null
杯	puai	p	undefined	undefined	undefined	0	null
卑	pje	pj	undefined	undefined	undefined	0	null
盃	puai	p	undefined	undefined	undefined	0	null
桮	puai	p	undefined	undefined	undefined	0	null
揹	puai	p	undefined	undefined	undefined	0	null
悲	pii	p	undefined	undefined	undefined	0	null
碑	pie	p	undefined	undefined	undefined	0	null
㽡	pie	p	undefined	undefined	undefined	0	null
㗗	pie	p	undefined	undefined	undefined	0	null
㗗	pie	p	undefined	undefined	undefined	1	null
藣	pie	p	undefined	undefined	undefined	0	null
藣	pie	p	undefined	undefined	undefined	2	null
鵯	p'jin	p'j	undefined	undefined	undefined	3	null
鵯	pje	pj	undefined	undefined	undefined	0	null
䥯	bre	br	undefined	undefined	undefined	1	null
北	poŋ	p	undefined	undefined	undefined	3	null
孛	buai	b	undefined	undefined	undefined	2	null
孛	buon	b	undefined	undefined	undefined	3	null
邶	buai	b	undefined	undefined	undefined	2	null
貝	pad	p	undefined	undefined	undefined	2	null
苝	buai	b	undefined	undefined	undefined	2	null
㸬	pad	p	undefined	undefined	undefined	2	null
背	buai	b	undefined	undefined	undefined	2	50
背	puai	p	undefined	undefined	undefined	2	null
俻	bii	b	undefined	undefined	undefined	2	null
倍	bai	b	undefined	undefined	undefined	1	null
狽	pad	p	undefined	undefined	undefined	2	null
悖	buon	b	undefined	undefined	undefined	3	null
悖	buai	b	undefined	undefined	undefined	2	10
被	bie	b	undefined	undefined	undefined	2	null
被	bie	b	undefined	undefined	undefined	1	null
鄁	buai	b	undefined	undefined	undefined	2	null
偝	buai	b	undefined	undefined	undefined	2	null
琲	buai	b	undefined	undefined	undefined	1	null
備	bii	b	undefined	undefined	undefined	2	null
焙	buai	b	undefined	undefined	undefined	2	null
蓓	bai	b	undefined	undefined	undefined	1	null
碚	bai	b	undefined	undefined	undefined	1	null
㻗	buai	b	undefined	undefined	undefined	2	null
㣁	bii	b	undefined	undefined	undefined	2	null
䟺	bad	b	undefined	undefined	undefined	2	null
䟺	pad	p	undefined	undefined	undefined	2	null
骳	mie	m	undefined	undefined	undefined	1	null
犕	bii	b	undefined	undefined	undefined	2	null
㸢	bii	b	undefined	undefined	undefined	2	null
誖	buai	b	undefined	undefined	undefined	2	null
誖	buon	b	undefined	undefined	undefined	3	null
誖	puai	p	undefined	undefined	undefined	2	null
褙	puai	p	undefined	undefined	undefined	2	null
輩	puai	p	undefined	undefined	undefined	2	null
鋇	pad	p	undefined	undefined	undefined	2	null
䰽	pad	p	undefined	undefined	undefined	2	null
憊	brai	br	undefined	undefined	undefined	2	null
糒	bii	b	undefined	undefined	undefined	2	null
鞴	bii	b	undefined	undefined	undefined	2	null
鞴	biuŋ	b	undefined	undefined	undefined	3	null
鞴	bo	b	undefined	undefined	undefined	2	null
㶔	brai	br	undefined	undefined	undefined	2	null
鐾	be	b	undefined	undefined	undefined	2	null
鐾	bje	bj	undefined	undefined	undefined	2	null
唄	brad	br	undefined	undefined	undefined	2	null
唄	pad	p	undefined	undefined	undefined	2	null
奔	puon	p	undefined	undefined	undefined	0	null
奔	puon	p	undefined	undefined	undefined	2	null
逩	puon	p	undefined	undefined	undefined	2	null
賁	byoi	b	undefined	undefined	undefined	0	null
賁	byon	b	undefined	undefined	undefined	0	null
賁	pie	p	undefined	undefined	undefined	2	null
賁	puon	p	undefined	undefined	undefined	0	null
犇	puon	p	undefined	undefined	undefined	0	null
錛	puon	p	undefined	undefined	undefined	0	null
本	puon	p	undefined	undefined	undefined	1	null
夲	t'au	t'	undefined	undefined	undefined	0	null
苯	puon	p	undefined	undefined	undefined	1	null
㡷	puon	p	undefined	undefined	undefined	1	null
畚	puon	p	undefined	undefined	undefined	1	null
翉	p'uon	p'	undefined	undefined	undefined	1	null
坌	buon	b	undefined	undefined	undefined	2	null
笨	buon	b	undefined	undefined	undefined	1	null
笨	puon	p	undefined	undefined	undefined	1	null
㨧	buon	b	undefined	undefined	undefined	1	null
伻	p'reŋ	p'r	undefined	undefined	undefined	0	null
㔙	praŋ	pr	undefined	undefined	undefined	0	null
崩	poŋ	p	undefined	undefined	undefined	0	null
閍	praŋ	pr	undefined	undefined	undefined	0	null
䑫	preŋ	pr	undefined	undefined	undefined	0	null
絣	preŋ	pr	undefined	undefined	undefined	0	null
嘣	poŋ	p	undefined	undefined	undefined	0	null
繃	preŋ	pr	undefined	undefined	undefined	0	null
甭	boŋ	b	undefined	undefined	undefined	0	null
㑟	praŋ	pr	undefined	undefined	undefined	1	null
埲	buŋ	b	undefined	undefined	undefined	1	null
菶	buŋ	b	undefined	undefined	undefined	1	null
菶	puŋ	p	undefined	undefined	undefined	1	null
琫	puŋ	p	undefined	undefined	undefined	1	null
泵	poŋ	p	undefined	undefined	undefined	2	null
迸	preŋ	pr	undefined	undefined	undefined	2	null
跰	ben	b	undefined	undefined	undefined	0	null
跰	praŋ	pr	undefined	undefined	undefined	2	null
甏	braŋ	br	undefined	undefined	undefined	2	null
