character	syllable	initial	medial	nuclues	terminal	tone	percentage
㐲	dai	d	null	a	i	2	undefined
㐳	ŋən	ŋ	null	ə	n	3	undefined
㐳	ən		null	ə	n	3	undefined
㐴	p'an	p'	null	a	n	0	undefined
㐵	y		null	y		0	undefined
㐶	ʣ'i	ʣ'	null	i		1	undefined
㐷	ma	m	null	a		2	undefined
㐸	xim	x	null	i	m	2	undefined
㐹	ŋən	ŋ	null	ə	n	3	undefined
㐹	ən		null	ə	n	3	undefined
㐺	jəm	j	null	ə	m	0	undefined
㐻	noi	n	null	o	i	2	undefined
㐼	ʦ'iŋ	ʦ'	null	i	ŋ	1	undefined
㐽	fuŋ	f	null	u	ŋ	0	undefined
㐾	un		null	u	n	2	undefined
㐿	səu	s	null	ə	u	1	undefined
㑀	t'ai	t'	null	a	i	2	undefined
㑁	ʦrøn	ʦr	null	ø	n	3	undefined
㑂	foŋ	f	null	o	ŋ	1	undefined
㑃	qau	q	null	a	u	1	undefined
㑄	mou	m	null	o	u	1	undefined
㑅	ʦoŋ	ʦ	null	o	ŋ	3	undefined
㑆	xiŋ	x	null	i	ŋ	0	undefined
㑇	ʦəu	ʦ	null	ə	u	2	undefined
㑇	ʦ'əu	ʦ'	null	ə	u	0	undefined
㑈	tuŋ	t	null	u	ŋ	0	undefined
㑉	suŋ	s	null	u	ŋ	3	undefined
㑊	iŋ		null	i	ŋ	3	undefined
㑋	xuŋ	x	null	u	ŋ	2	undefined
㑌	xoŋ	x	null	o	ŋ	0	undefined
㑌	qvoŋ	qv	null	o	ŋ	0	undefined
㑍	loi	l	null	o	i	2	undefined
㑎	nou	n	null	o	u	1	undefined
㑏	ʣ'y	ʣ'	null	y		1	undefined
㑐	suŋ	s	null	u	ŋ	3	undefined
㑑	ʣən	ʣ	null	ə	n	3	undefined
㑒	ʦ'im	ʦ'	null	i	m	0	undefined
㑓	ʦøn	ʦ	null	ø	n	2	undefined
㑔	søi	s	null	ø	i	1	undefined
㑕	søi	s	null	ø	i	2	undefined
㑖	ʣuŋ	ʣ	null	u	ŋ	2	undefined
㑗	sjən	sj	null	ə	n	0	undefined
㑘	cai	c	null	a	i	2	undefined
㑙	tim	t	null	i	m	3	undefined
㑚	na	n	null	a		1	undefined
㑛	suŋ	s	null	u	ŋ	3	undefined
㑜	jəi	j	null	ə	i	2	undefined
㑝	luŋ	l	null	u	ŋ	2	undefined
㑞	iŋ		null	i	ŋ	2	undefined
㑟	pəŋ	p	null	ə	ŋ	1	undefined
㑠	cin	c	null	i	n	0	undefined
㑡	ʦiŋ	ʦ	null	i	ŋ	3	undefined
㑢	c'øŋ	c'	null	ø	ŋ	3	undefined
㑣	lam	l	null	a	m	0	undefined
㑤	mau	m	null	a	u	0	undefined
㑥	i		null	i		2	undefined
㑦	ləi	l	null	ə	i	2	undefined
㑧	cvəi	cv	null	ə	i	2	undefined
㑨	y		null	y		1	undefined
㑩	lo	l	null	o		0	undefined
㑪	ʣ'ai	ʣ'	null	a	i	0	undefined
㑫	nim	n	null	i	m	2	undefined
㑬	cu	c	null	u		0	undefined
㑭	pei	p	null	e	i	1	undefined
㑮	ŋvən	ŋv	null	ə	n	0	undefined
㑯	søi	s	null	ø	i	1	undefined
㑰	fui	f	null	u	i	2	undefined
㑱	iu		null	i	u	1	undefined
㑲	nam	n	null	a	m	0	undefined
㑳	ʦəu	ʦ	null	ə	u	2	undefined
㑳	ʦ'əu	ʦ'	null	ə	u	0	undefined
㑴	ʦ'əm	ʦ'	null	ə	m	0	undefined
㑵	ʣən	ʣ	null	ə	n	3	undefined
㑶	xei	x	null	e	i	2	undefined
㑷	t'ai	t'	null	a	i	2	undefined
㑸	iu		null	i	u	0	undefined
㑹	ui		null	u	i	2	undefined
㑺	ʦøn	ʦ	null	ø	n	2	undefined
㑻	qman	qm	null	a	n	3	undefined
㑼	løŋ	l	null	ø	ŋ	3	undefined
㑽	d'oŋ	d'	null	o	ŋ	0	undefined
㑾	iu		null	i	u	0	undefined
㑿	ʣrau	ʣr	null	a	u	2	undefined
㒀	ʣaŋ	ʣ	null	a	ŋ	3	undefined
㒁	y		null	y		1	undefined
㒂	ʦøŋ	ʦ	null	ø	ŋ	3	undefined
㒃	i		null	i		2	undefined
㒄	njin	nj	null	i	n	1	undefined
㒅	c'əi	c'	null	ə	i	1	undefined
㒆	c'əm	c'	null	ə	m	3	undefined
㒇	mou	m	null	o	u	1	undefined
㒈	xam	x	null	a	m	2	undefined
㒉	ʦ'oŋ	ʦ'	null	o	ŋ	1	undefined
㒊	sram	sr	null	a	m	3	undefined
㒋	si	s	null	i		0	undefined
㒌	g'iŋ	g'	null	i	ŋ	0	undefined
㒍	løi	l	null	ø	i	0	undefined
㒎	sam	s	null	a	m	3	undefined
㒏	hon	h	null	o	n	0	undefined
㒐	søn	s	null	ø	n	1	undefined
㒑	fui	f	null	u	i	1	undefined
㒒	buŋ	b	null	u	ŋ	3	undefined
㒓	t'an	t'	null	a	n	3	undefined
㒔	zuŋ	z	null	u	ŋ	3	undefined
㒕	qoŋ	q	null	o	ŋ	0	undefined
㒕	qŋoŋ	qŋ	null	o	ŋ	0	undefined
㒖	ŋəu	ŋ	null	ə	u	1	undefined
㒖	əu		null	ə	u	1	undefined
㒗	d'oi	d'	null	o	i	0	undefined
㒘	zy	z	null	y		2	undefined
㒙	min	m	null	i	n	0	undefined
㒚	qjən	qj	null	ə	n	2	undefined
㒛	d'iu	d'	null	i	u	1	undefined
㒜	y		null	y		1	undefined
㒝	min	m	null	i	n	3	undefined
㒞	vəi	v	null	ə	i	2	undefined
㒟	niu	n	null	i	u	1	undefined
㒠	hai	h	null	a	i	2	undefined
㒡	jəu	j	null	ə	u	0	undefined
㒢	jøŋ	j	null	ø	ŋ	3	undefined
㒣	qiŋ	q	null	i	ŋ	2	undefined
㒤	ʦ'im	ʦ'	null	i	m	3	undefined
㒥	fuŋ	f	null	u	ŋ	0	undefined
㒦	løi	l	null	ø	i	1	undefined
㒧	ləi	l	null	ə	i	2	undefined
㒨	sin	s	null	i	n	0	undefined
㒩	qlo	ql	null	o		1	undefined
㒪	seŋ	s	null	e	ŋ	3	undefined
㒫	cei	c	null	e	i	2	undefined
㒬	qvoŋ	qv	null	o	ŋ	0	undefined
㒭	cv'ən	cv'	null	ə	n	0	undefined
㒮	fui	f	null	u	i	0	undefined
㒯	im		null	i	m	3	undefined
㒰	ʣ'yn	ʣ'	null	y	n	0	undefined
㒱	ʣiŋ	ʣ	null	i	ŋ	3	undefined
㒲	ʣ'oi	ʣ'	null	o	i	0	undefined
㒳	løŋ	l	null	ø	ŋ	1	undefined
㒴	cvən	cv	null	ə	n	3	undefined
㒵	mau	m	null	a	u	2	undefined
㒶	cuŋ	c	null	u	ŋ	0	undefined
㒷	xiŋ	x	null	i	ŋ	0	undefined
㒸	zøi	z	null	ø	i	2	undefined
㒹	tin	t	null	i	n	0	undefined
㒺	moŋ	m	null	o	ŋ	1	undefined
㒻	mou	m	null	o	u	2	undefined
㒼	mun	m	null	u	n	0	undefined
㒼	məŋ	m	null	ə	ŋ	0	undefined
㒽	xyn	x	null	y	n	0	undefined
㒾	ʦ'i	ʦ'	null	i		2	undefined
㒿	lei	l	null	e	i	0	undefined
㓀	puŋ	p	null	u	ŋ	3	undefined
㓁	moŋ	m	null	o	ŋ	1	undefined
㓂	c'əu	c'	null	ə	u	2	undefined
㓃	tou	t	null	o	u	2	undefined
㓄	ʦrəm	ʦr	null	ə	m	2	undefined
㓅	t'iŋ	t'	null	i	ŋ	0	undefined
㓆	løn	l	null	ø	n	0	undefined
㓇	qjuŋ	qj	null	u	ŋ	3	undefined
㓈	piŋ	p	null	i	ŋ	2	undefined
㓉	un		null	u	n	3	undefined
㓊	duŋ	d	null	u	ŋ	2	undefined
㓋	guŋ	g	null	u	ŋ	2	undefined
㓌	ʦ'əŋ	ʦ'	null	ə	ŋ	0	undefined
㓍	ʦ'uŋ	ʦ'	null	u	ŋ	0	undefined
㓎	ʦ'əm	ʦ'	null	ə	m	0	undefined
㓏	cviŋ	cv	null	i	ŋ	1	undefined
㓐	luŋ	l	null	u	ŋ	3	undefined
㓑	iŋ		null	i	ŋ	2	undefined
㓒	ʦ'ən	ʦ'	null	ə	n	3	undefined
㓓	nam	n	null	a	m	0	undefined
㓔	ʣe	ʣ	null	e		2	undefined
㓕	min	m	null	i	n	3	undefined
㓖	pən	p	null	ə	n	3	undefined
㓗	cin	c	null	i	n	3	undefined
㓘	suŋ	s	null	u	ŋ	3	undefined
㓙	xuŋ	x	null	u	ŋ	0	undefined
㓚	cuŋ	c	null	u	ŋ	0	undefined
㓛	cuŋ	c	null	u	ŋ	0	undefined
㓜	qjəu	qj	null	ə	u	2	undefined
㓝	hjiŋ	hj	null	i	ŋ	0	undefined
㓞	c'in	c'	null	i	n	3	undefined
㓟	p'əi	p'	null	ə	i	0	undefined
㓠	tim	t	null	i	m	2	undefined
㓡	fu	f	null	u		1	undefined
㓢	loŋ	l	null	o	ŋ	3	undefined
㓣	xəm	x	null	ə	m	3	undefined
㓤	cən	c	null	ə	n	3	undefined
㓤	c'in	c'	null	i	n	3	undefined
㓥	t'oŋ	t'	null	o	ŋ	0	undefined
㓦	qmaŋ	qm	null	a	ŋ	3	undefined
㓦	paŋ	p	null	a	ŋ	3	undefined
㓧	cəm	c	null	ə	m	0	undefined
㓨	ʦ'i	ʦ'	null	i		2	undefined
㓨	ʦ'iŋ	ʦ'	null	i	ŋ	3	undefined
㓩	xyn	x	null	y	n	0	undefined
㓪	loŋ	l	null	o	ŋ	1	undefined
㓫	fu	f	null	u		0	undefined
㓬	fu	f	null	u		0	undefined
㓭	xon	x	null	o	n	3	undefined
㓮	tiu	t	null	i	u	0	undefined
㓯	lei	l	null	e	i	0	undefined
㓰	vaŋ	v	null	a	ŋ	3	undefined
㓱	d'əu	d'	null	ə	u	0	undefined
㓲	p'in	p'	null	i	n	0	undefined
㓳	təi	t	null	ə	i	0	undefined
㓴	yn		null	y	n	1	undefined
㓵	ŋoŋ	ŋ	null	o	ŋ	3	undefined
㓵	oŋ		null	o	ŋ	3	undefined
㓶	c'in	c'	null	i	n	3	undefined
㓷	ŋi	ŋ	null	i		2	undefined
㓸	ʦøŋ	ʦ	null	ø	ŋ	3	undefined
㓹	jøi	j	null	ø	i	2	undefined
㓺	g'in	g'	null	i	n	0	undefined
㓻	coŋ	c	null	o	ŋ	0	undefined
㓼	ʦr'ən	ʦr'	null	ə	n	3	undefined
㓽	zruŋ	zr	null	u	ŋ	0	undefined
㓾	səi	s	null	ə	i	0	undefined
㓿	sy	s	null	y		1	undefined
㔀	g'iŋ	g'	null	i	ŋ	0	undefined
㔁	təŋ	t	null	ə	ŋ	0	undefined
㔂	løn	l	null	ø	n	0	undefined
㔃	ʣyn	ʣ	null	y	n	3	undefined
㔄	suŋ	s	null	u	ŋ	3	undefined
㔅	siu	s	null	i	u	2	undefined
㔆	ʣ'am	ʣ'	null	a	m	1	undefined
㔇	p'un	p'	null	u	n	3	undefined
㔈	wei	w	null	e	i	2	undefined
㔉	ʦuŋ	ʦ	null	u	ŋ	3	undefined
㔊	ʦjin	ʦj	null	i	n	1	undefined
㔋	cam	c	null	a	m	2	undefined
㔌	ʣəu	ʣ	null	ə	u	2	undefined
㔍	ʦr'an	ʦr'	null	a	n	3	undefined
㔎	sin	s	null	i	n	3	undefined
㔏	liŋ	l	null	i	ŋ	3	undefined
㔐	ʦ'im	ʦ'	null	i	m	0	undefined
㔑	ʦ'ən	ʦ'	null	ə	n	3	undefined
㔒	gv'əi	gv'	null	ə	i	0	undefined
㔓	cin	c	null	i	n	1	undefined
㔔	ca	c	null	a		0	undefined
㔕	gən	g	null	ə	n	3	undefined
㔖	ca	c	null	a		0	undefined
㔗	wəi	w	null	ə	i	2	undefined
㔘	ʦ'øn	ʦ'	null	ø	n	3	undefined
㔙	p'aŋ	p'	null	a	ŋ	0	undefined
㔚	xəu	x	null	ə	u	1	undefined
㔛	c'in	c'	null	i	n	3	undefined
㔜	bun	b	null	u	n	3	undefined
㔝	løŋ	l	null	ø	ŋ	1	undefined
㔞	cvai	cv	null	a	i	0	undefined
㔟	səi	s	null	ə	i	2	undefined
㔠	hən	h	null	ə	n	3	undefined
㔡	pin	p	null	i	n	3	undefined
㔢	tyn	t	null	y	n	3	undefined
㔣	løi	l	null	ø	i	2	undefined
㔤	sən	s	null	ə	n	2	undefined
㔥	ba	b	null	a		2	undefined
㔦	jøŋ	j	null	ø	ŋ	1	undefined
㔧	løi	l	null	ø	i	2	undefined
㔨	pui	p	null	u	i	2	undefined
㔩	qəm	q	null	ə	m	3	undefined
㔩	həm	h	null	ə	m	3	undefined
㔪	lou	l	null	o	u	1	undefined
㔫	luŋ	l	null	u	ŋ	0	undefined
㔬	ʦ'øŋ	ʦ'	null	ø	ŋ	3	undefined
㔭	ʣ'i	ʣ'	null	i		0	undefined
㔮	no	n	null	o		0	undefined
㔯	zyn	z	null	y	n	0	undefined
㔰	həŋ	h	null	ə	ŋ	0	undefined
㔱	y		null	y		0	undefined
㔲	cvəi	cv	null	ə	i	1	undefined
㔳	cvəi	cv	null	ə	i	1	undefined
㔴	iŋ		null	i	ŋ	3	undefined
㔵	syn	s	null	y	n	1	undefined
㔶	cuŋ	c	null	u	ŋ	2	undefined
㔷	ləu	l	null	ə	u	2	undefined
㔸	t'əi	t'	null	ə	i	0	undefined
㔹	ləŋ	l	null	ə	ŋ	3	undefined
㔺	səi	s	null	ə	i	2	undefined
㔻	p'ei	p'	null	e	i	0	undefined
㔼	søn	s	null	ø	n	1	undefined
㔽	jəu	j	null	ə	u	1	undefined
㔾	ʦ'im	ʦ'	null	i	m	0	undefined
㔿	ʦəu	ʦ	null	ə	u	2	undefined
㕀	qvəi	qv	null	ə	i	2	undefined
㕁	c'øŋ	c'	null	ø	ŋ	3	undefined
㕂	jəm	j	null	ə	m	0	undefined
㕃	c'əi	c'	null	ə	i	0	undefined
㕄	ʦi	ʦ	null	i		1	undefined
㕅	cam	c	null	a	m	3	undefined
㕆	u		null	u		2	undefined
㕇	lam	l	null	a	m	3	undefined
㕈	qi	q	null	i		1	undefined
㕉	həm	h	null	ə	m	3	undefined
㕊	pou	p	null	o	u	0	undefined
㕋	g'əm	g'	null	ə	m	0	undefined
㕌	ŋoi	ŋ	null	o	i	2	undefined
㕌	oi		null	o	i	2	undefined
㕍	tøi	t	null	ø	i	0	undefined
㕎	həm	h	null	ə	m	3	undefined
㕏	ʣ'y	ʣ'	null	y		0	undefined
㕐	se	s	null	e		1	undefined
㕑	ʣ'y	ʣ'	null	y		0	undefined
㕑	ʣ'øi	ʣ'	null	ø	i	0	undefined
㕒	ŋəi	ŋ	null	ə	i	0	undefined
㕓	ʣ'in	ʣ'	null	i	n	0	undefined
㕔	t'eŋ	t'	null	e	ŋ	0	undefined
㕔	t'iŋ	t'	null	i	ŋ	0	undefined
㕕	van	v	null	a	n	2	undefined
㕖	sou	s	null	o	u	2	undefined
㕗	jəu	j	null	ə	u	1	undefined
㕘	sam	s	null	a	m	0	undefined
㕘	ʦ'am	ʦ'	null	a	m	0	undefined
㕘	səm	s	null	ə	m	0	undefined
㕘	ʦ'əm	ʦ'	null	ə	m	0	undefined
㕙	ʦøn	ʦ	null	ø	n	2	undefined
㕚	ʦrau	ʦr	null	a	u	1	undefined
㕛	jəu	j	null	ə	u	1	undefined
㕜	si	s	null	i		1	undefined
㕝	zi	z	null	i		2	undefined
㕞	ʦr'an	ʦr'	null	a	n	3	undefined
㕟	x-vəi	x-v	null	ə	i	1	undefined
㕠	søŋ	s	null	ø	ŋ	0	undefined
㕠	suŋ	s	null	u	ŋ	0	undefined
㕡	c'oŋ	c'	null	o	ŋ	3	undefined
㕢	hai	h	null	a	i	2	undefined
㕣	in		null	i	n	1	undefined
㕤	g'əu	g'	null	ə	u	0	undefined
㕥	i		null	i		1	undefined
㕦	hva	hv	null	a		2	undefined
㕧	si	s	null	i		0	undefined
㕨	wan	w	null	a	n	2	undefined
㕩	p'oŋ	p'	null	o	ŋ	2	undefined
㕪	təm	t	null	ə	m	1	undefined
㕫	fuŋ	f	null	u	ŋ	0	undefined
㕬	ʦjuŋ	ʦj	null	u	ŋ	0	undefined
㕭	qau	q	null	a	u	2	undefined
㕭	qiu	q	null	i	u	0	undefined
㕭	qjau	qj	null	a	u	0	undefined
㕮	fu	f	null	u		1	undefined
㕯	nøn	n	null	ø	n	3	undefined
㕰	xoŋ	x	null	o	ŋ	3	undefined
㕱	jəu	j	null	ə	u	0	undefined
㕲	qmuŋ	qm	null	u	ŋ	3	undefined
㕳	xuŋ	x	null	u	ŋ	0	undefined
㕴	səm	s	null	ə	m	1	undefined
㕵	cvoŋ	cv	null	o	ŋ	3	undefined
㕶	ŋ		null	ŋ		0	undefined
㕶	m		null	m		0	undefined
㕷	qvaŋ	qv	null	a	ŋ	3	undefined
㕸	qləm	ql	null	ə	m	3	undefined
㕹	wən	w	null	ə	n	3	undefined
㕺	xiu	x	null	i	u	0	undefined
㕻	t'əu	t'	null	ə	u	2	undefined
㕼	xuŋ	x	null	u	ŋ	0	undefined
㕽	ʣ'i	ʣ'	null	i		1	undefined
㕾	siu	s	null	i	u	1	undefined
㕿	vo	v	null	o		0	undefined
㖀	løn	l	null	ø	n	3	undefined
㖁	løn	l	null	ø	n	2	undefined
㖂	jəi	j	null	ə	i	2	undefined
㖃	xəu	x	null	ə	u	1	undefined
㖄	ʦəu	ʦ	null	ə	u	0	undefined
㖅	søn	s	null	ø	n	3	undefined
㖆	c'uŋ	c'	null	u	ŋ	3	undefined
㖇	i		null	i		0	undefined
㖈	lou	l	null	o	u	1	undefined
㖉	g'ei	g'	null	e	i	1	undefined
㖊	ʣ'əm	ʣ'	null	ə	m	0	undefined
㖋	cai	c	null	a	i	2	undefined
㖌	zəu	z	null	ə	u	0	undefined
㖍	təu	t	null	ə	u	1	undefined
㖎	cai	c	null	a	i	2	undefined
㖏	nin	n	null	i	n	3	undefined
㖐	vəi	v	null	ə	i	1	undefined
㖑	xai	x	null	a	i	2	undefined
㖒	d'əi	d'	null	ə	i	0	undefined
㖓	huŋ	h	null	u	ŋ	0	undefined
㖔	t'ən	t'	null	ə	n	2	undefined
㖕	sən	s	null	ə	n	0	undefined
㖖	ŋon	ŋ	null	o	n	3	undefined
㖖	on		null	o	n	3	undefined
㖗	jəm	j	null	ə	m	0	undefined
㖘	sjøn	sj	null	ø	n	1	undefined
㖘	sjən	sj	null	ə	n	1	undefined
㖙	ca	c	null	a		0	undefined
㖚	wu	w	null	u		2	undefined
㖛	cu	c	null	u		1	undefined
㖜	qiŋ	q	null	i	ŋ	0	undefined
㖝	mei	m	null	e	i	2	undefined
㖞	qva	qv	null	a		0	undefined
㖞	vo	v	null	o		1	undefined
㖟	zjəu	zj	null	ə	u	2	undefined
㖠	na	n	null	a		1	undefined
㖡	je	j	null	e		2	undefined
㖡	e		null	e		2	undefined
㖡	ŋe	ŋ	null	e		2	undefined
㖢	ʦ'i	ʦ'	null	i		0	undefined
㖣	t'əu	t'	null	ə	u	2	undefined
㖤	ham	h	null	a	m	0	undefined
㖥	qløn	ql	null	ø	n	0	undefined
㖦	tuŋ	t	null	u	ŋ	1	undefined
㖧	fən	f	null	ə	n	0	undefined
㖧	mən	m	null	ə	n	1	undefined
㖨	luŋ	l	null	u	ŋ	3	undefined
㖩	ʦøi	ʦ	null	ø	i	0	undefined
㖪	hvaŋ	hv	null	a	ŋ	3	undefined
㖫	liŋ	l	null	i	ŋ	0	undefined
㖬	səu	s	null	ə	u	0	undefined
㖭	t'im	t'	null	i	m	0	undefined
㖮	løn	l	null	ø	n	0	undefined
㖯	d'uŋ	d'	null	u	ŋ	0	undefined
㖰	d'uŋ	d'	null	u	ŋ	0	undefined
㖱	je	j	null	e		2	undefined
㖲	y		null	y		0	undefined
㖳	y		null	y		1	undefined
㖴	mən	m	null	ə	n	1	undefined
㖵	con	c	null	o	n	3	undefined
㖶	qin	q	null	i	n	0	undefined
㖷	zji	zj	null	i		0	undefined
㖸	qla	ql	null	a		0	undefined
㖹	p'ən	p'	null	ə	n	2	undefined
㖺	ʦ'øn	ʦ'	null	ø	n	1	undefined
㖻	nəu	n	null	ə	u	0	undefined
㖼	məu	m	null	ə	u	0	undefined
㖽	ʦaŋ	ʦ	null	a	ŋ	3	undefined
㖾	ŋoŋ	ŋ	null	o	ŋ	3	undefined
㖾	oŋ		null	o	ŋ	3	undefined
㖿	je	j	null	e		1	undefined
㗀	qjəu	qj	null	ə	u	0	undefined
㗁	ŋoŋ	ŋ	null	o	ŋ	3	undefined
㗂	saŋ	s	null	a	ŋ	1	undefined
㗃	mən	m	null	ə	n	1	undefined
㗄	c'u	c'	null	u		0	undefined
㗅	u		null	u		0	undefined
㗆	caŋ	c	null	a	ŋ	3	undefined
㗇	xa	x	null	a		0	undefined
㗇	ga	g	null	a		1	undefined
㗈	man	m	null	a	n	2	undefined
㗉	løŋ	l	null	ø	ŋ	3	undefined
㗊	løi	l	null	ø	i	0	undefined
㗋	həu	h	null	ə	u	0	undefined
㗌	ʦən	ʦ	null	ə	n	3	undefined
㗍	ʦai	ʦ	null	a	i	0	undefined
㗎	ca	c	null	a		2	undefined
㗎	ga	g	null	a		0	undefined
㗏	qvai	qv	null	a	i	0	undefined
㗐	xam	x	null	a	m	3	undefined
㗑	pai	p	null	a	i	2	undefined
㗒	qoi	q	null	o	i	0	undefined
㗒	qŋoi	qŋ	null	o	i	0	undefined
㗓	ʦøi	ʦ	null	ø	i	0	undefined
㗔	xin	x	null	i	n	0	undefined
㗕	cəu	c	null	ə	u	2	undefined
㗖	dam	d	null	a	m	2	undefined
㗗	pei	p	null	e	i	1	undefined
㗘	poŋ	p	null	o	ŋ	3	undefined
㗙	ʦ'o	ʦ'	null	o		0	undefined
㗚	løn	l	null	ø	n	3	undefined
㗛	siu	s	null	i	u	2	undefined
㗜	ʦ'əu	ʦ'	null	ə	u	2	undefined
㗝	cou	c	null	o	u	0	undefined
㗞	p'o	p'	null	o		2	undefined
㗟	ʦy	ʦ	null	y		2	undefined
㗠	ʦ'i	ʦ'	null	i		1	undefined
㗡	iŋ		null	i	ŋ	0	undefined
㗢	huŋ	h	null	u	ŋ	0	undefined
㗣	t'əi	t'	null	ə	i	2	undefined
㗤	ʦuŋ	ʦ	null	u	ŋ	3	undefined
㗥	cv'oŋ	cv'	null	o	ŋ	3	undefined
㗦	lou	l	null	o	u	0	undefined
㗧	ʦən	ʦ	null	ə	n	3	undefined
㗨	xai	x	null	a	i	0	undefined
㗩	səm	s	null	ə	m	3	undefined
㗪	p'ei	p'	null	e	i	0	undefined
㗫	ʦ'in	ʦ'	null	i	n	3	undefined
㗬	ʦra	ʦr	null	a		0	undefined
㗭	siŋ	s	null	i	ŋ	3	undefined
㗮	cəŋ	c	null	ə	ŋ	0	undefined
㗯	ʦe	ʦ	null	e		1	undefined
㗰	ʣ'uŋ	ʣ'	null	u	ŋ	0	undefined
㗱	ʣam	ʣ	null	a	m	3	undefined
㗱	ʣem	ʣ	null	e	m	3	undefined
㗲	x-vaŋ	x-v	null	a	ŋ	3	undefined
㗳	təm	t	null	ə	m	3	undefined
㗴	ŋan	ŋ	null	a	n	0	undefined
㗵	xvən	xv	null	ə	n	3	undefined
㗶	p'un	p'	null	u	n	3	undefined
㗷	ʦ'oi	ʦ'	null	o	i	2	undefined
㗸	ham	h	null	a	m	0	undefined
㗹	vəi	v	null	ə	i	0	undefined
㗺	sam	s	null	a	m	3	undefined
㗻	go	g	null	o		2	undefined
㗼	ŋim	ŋ	null	i	m	3	undefined
㗽	xøŋ	x	null	ø	ŋ	1	undefined
㗾	xø	x	null	ø		0	undefined
㗾	hø	h	null	ø		0	undefined
㗿	xo	x	null	o		0	undefined
㘀	ʦoŋ	ʦ	null	o	ŋ	3	undefined
㘁	iŋ		null	i	ŋ	3	undefined
㘂	ʣ'i	ʣ'	null	i		0	undefined
㘃	je	j	null	e		1	undefined
㘄	qləŋ	ql	null	ə	ŋ	0	undefined
㘅	ham	h	null	a	m	0	undefined
㘆	t'oi	t'	null	o	i	1	undefined
㘇	viŋ	v	null	i	ŋ	0	undefined
㘈	ŋiŋ	ŋ	null	i	ŋ	3	undefined
㘉	ʦriŋ	ʦr	null	i	ŋ	3	undefined
㘉	ʦrin	ʦr	null	i	n	3	undefined
㘊	c'əm	c'	null	ə	m	3	undefined
㘋	in		null	i	n	0	undefined
㘌	g'øŋ	g'	null	ø	ŋ	3	undefined
㘍	ʦən	ʦ	null	ə	n	3	undefined
㘎	xam	x	null	a	m	2	undefined
㘏	dou	d	null	o	u	2	undefined
㘐	p'au	p'	null	a	u	2	undefined
㘑	ləi	l	null	ə	i	2	undefined
㘒	ʦuŋ	ʦ	null	u	ŋ	1	undefined
㘓	lan	l	null	a	n	0	undefined
㘔	ʦ'oi	ʦ'	null	o	i	2	undefined
㘕	xam	x	null	a	m	2	undefined
㘖	ŋan	ŋ	null	a	n	0	undefined
㘖	an		null	a	n	0	undefined
㘗	c'øi	c'	null	ø	i	0	undefined
㘘	qlyn	ql	null	y	n	1	undefined
㘙	ŋam	ŋ	null	a	m	0	undefined
㘚	xam	x	null	a	m	2	undefined
㘛	xəm	x	null	ə	m	0	undefined
